league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
ESP-La Liga,2526,Osasuna,Víctor Muñoz,ESP,"MF,FW",22.0,2003.0,34.0,31.0,2656.0,29.5,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,0.2,0.07,0.27,0.2,0.27,29.5,6.0,81.0,31.0,38.3,2.74,1.05,0.07,0.19,0.0,0.0,78.0,77.7,31,82.0,15,3,34.0,0,1.24,32.0,32.0,0.0,0.0,0.71,0.0,32.0,54.0,5.0,99.0,10.0,13.0,,,0.0,,,,,,,,,,,,,,,,True,alta,4,Extremo regateador,1.925474785125367
ESP-La Liga,2526,Oviedo,Federico Viñas,URU,"FW,MF",27.0,1998.0,33.0,28.0,2439.0,27.1,9.0,1.0,10.0,7.0,2.0,2.0,7.0,3.0,0.33,0.04,0.37,0.26,0.3,27.1,9.0,57.0,21.0,36.8,2.1,0.77,0.16,0.43,2.0,2.0,74.0,71.3,28,83.0,12,5,26.0,0,0.85,20.0,38.0,-18.0,-0.66,0.8,1.0,46.0,69.0,13.0,3.0,13.0,32.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Nueve de choque,2.6851938663909656
ESP-La Liga,2526,Oviedo,Haissem Hassan,EGY,"MF,FW",23.0,2002.0,37.0,20.0,1942.0,21.6,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,0.0,0.14,21.6,0.0,34.0,8.0,23.5,1.58,0.37,0.0,0.0,0.0,0.0,52.0,56.8,20,71.0,3,17,30.0,1,0.76,11.0,33.0,-22.0,-1.02,-0.29,0.0,12.0,25.0,3.0,113.0,6.0,26.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Extremo de presión,2.7788001927942405
ESP-La Liga,2526,Oviedo,Ilyas Chaira,MAR,"MF,FW",24.0,2001.0,36.0,30.0,2447.0,27.2,6.0,2.0,8.0,6.0,0.0,0.0,2.0,1.0,0.22,0.07,0.29,0.22,0.29,27.2,6.0,81.0,35.0,43.2,2.98,1.29,0.07,0.17,0.0,0.0,68.0,71.5,30,76.0,10,6,30.0,0,0.81,22.0,39.0,-17.0,-0.63,0.95,0.0,53.0,41.0,18.0,74.0,4.0,34.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Nueve de choque,2.9127864692670267
ESP-La Liga,2526,Oviedo,Josip Brekalo,CRO,"MF,FW",27.0,1998.0,14.0,6.0,486.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,9.0,3.0,33.3,1.67,0.56,0.0,0.0,0.0,0.0,35.0,14.2,6,58.0,0,8,18.0,3,0.71,1.0,14.0,-13.0,-2.41,-1.76,0.0,7.0,6.0,0.0,26.0,2.0,7.0,,,0.0,,,,,,,,,,,,,,,,False,baja,3,Extremo de presión,2.5007449630395473
ESP-La Liga,2526,Oviedo,Luka Ilić,SRB,"MF,FW",26.0,1999.0,19.0,8.0,742.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.12,0.0,0.12,0.12,0.12,8.2,1.0,9.0,5.0,55.6,1.09,0.61,0.11,0.2,0.0,0.0,39.0,21.7,8,68.0,1,11,18.0,11,0.68,6.0,16.0,-10.0,-1.21,-0.41,1.0,16.0,7.0,2.0,7.0,7.0,5.0,,,0.0,,,,,,,,,,,,,,,,False,baja,3,Extremo de presión,3.515444516130284
ESP-La Liga,2526,Oviedo,Salomón Rondón,VEN,FW,35.0,1989.0,16.0,13.0,1032.0,11.5,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,11.5,2.0,24.0,5.0,20.8,2.09,0.44,0.08,0.4,0.0,1.0,65.0,30.2,13,75.0,4,3,18.0,1,0.69,6.0,17.0,-11.0,-0.96,-0.09,0.0,11.0,21.0,12.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Nueve de choque,3.4527283912411804
ESP-La Liga,2526,Oviedo,Thiago Fernández,ARG,"MF,FW",21.0,2004.0,16.0,9.0,817.0,9.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.44,0.44,0.0,0.44,9.1,0.0,13.0,5.0,38.5,1.43,0.55,0.0,0.0,0.0,0.0,51.0,23.9,9,65.0,0,7,33.0,1,1.0,12.0,16.0,-4.0,-0.44,0.6,0.0,7.0,11.0,2.0,27.0,5.0,7.0,,,0.0,,,,,,,,,,,,,,,,False,baja,2,Extremo centrador,2.806152378967575
ESP-La Liga,2526,Rayo Vallecano,Alexandre Alemão,BRA,FW,27.0,1998.0,26.0,11.0,1136.0,12.6,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.32,0.0,0.32,0.32,0.32,12.6,4.0,26.0,12.0,46.2,2.06,0.95,0.15,0.33,0.0,0.0,44.0,33.2,11,73.0,0,15,22.0,5,1.42,14.0,12.0,2.0,0.16,0.36,0.0,23.0,27.0,4.0,5.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Nueve de choque,2.1586535934985265
ESP-La Liga,2526,Rayo Vallecano,Carlos Martín,ESP,"MF,FW",23.0,2002.0,11.0,7.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,4.0,44.4,1.8,0.8,0.0,0.0,0.0,0.0,41.0,13.2,7,57.0,0,4,12.0,8,1.36,5.0,11.0,-6.0,-1.2,-1.29,0.0,11.0,5.0,0.0,8.0,0.0,7.0,,,0.0,,,,,,,,,,,,,,,,False,baja,3,Extremo de presión,4.230014259737334
